sequence,urn,document,lexeme
1,urn:cts:compnov:bible.genesis:1.1,vulgate,ls.n11543
1,urn:cts:compnov:bible.genesis:1.1,targum,ls.n11543
1,urn:cts:compnov:bible.genesis:1.1,septuagint,ls.n17516
2,urn:cts:compnov:bible.genesis:1.2,vulgate,ls.n46529
2,urn:cts:compnov:bible.genesis:1.2,vulgate,ls.n17964
2,urn:cts:compnov:bible.genesis:1.2,targum,ls.n46529
2,urn:cts:compnov:bible.genesis:1.2,targum,ls.n13352
2,urn:cts:compnov:bible.genesis:1.2,targum,ls.n24039
2,urn:cts:compnov:bible.genesis:1.2,septuagint,ls.n46529
2,urn:cts:compnov:bible.genesis:1.2,septuagint,ls.n17964
3,urn:cts:compnov:bible.genesis:1.3,vulgate,ls.n13804
3,urn:cts:compnov:bible.genesis:1.3,vulgate,lexent.n18209
3,urn:cts:compnov:bible.genesis:1.3,vulgate,ls.n17516
3,urn:cts:compnov:bible.genesis:1.3,vulgate,ls.n46529
3,urn:cts:compnov:bible.genesis:1.3,targum,ls.n13804
3,urn:cts:compnov:bible.genesis:1.3,targum,ls.n46529
3,urn:cts:compnov:bible.genesis:1.3,septuagint,ls.n13804
3,urn:cts:compnov:bible.genesis:1.3,septuagint,lexent.n18209
3,urn:cts:compnov:bible.genesis:1.3,septuagint,ls.n17516
3,urn:cts:compnov:bible.genesis:1.3,septuagint,ls.n46529
4,urn:cts:compnov:bible.genesis:1.4,vulgate,ls.n50883
4,urn:cts:compnov:bible.genesis:1.4,vulgate,ls.n46529
4,urn:cts:compnov:bible.genesis:1.4,vulgate,ls.n14559
4,urn:cts:compnov:bible.genesis:1.4,targum,ls.n46529
4,urn:cts:compnov:bible.genesis:1.4,targum,ls.n14559
4,urn:cts:compnov:bible.genesis:1.4,septuagint,ls.n14559
5,urn:cts:compnov:bible.genesis:1.5,vulgate,ls.n3134
5,urn:cts:compnov:bible.genesis:1.5,vulgate,ls.n17516
5,urn:cts:compnov:bible.genesis:1.5,vulgate,ls.n46529
5,urn:cts:compnov:bible.genesis:1.5,vulgate,ls.n27858
5,urn:cts:compnov:bible.genesis:1.5,targum,ls.n3134
5,urn:cts:compnov:bible.genesis:1.5,targum,ls.n46529
5,urn:cts:compnov:bible.genesis:1.5,targum,ls.n27858
5,urn:cts:compnov:bible.genesis:1.5,septuagint,ls.n46529
5,urn:cts:compnov:bible.genesis:1.5,septuagint,ls.n17516
5,urn:cts:compnov:bible.genesis:1.5,septuagint,ls.n27858
6,urn:cts:compnov:bible.genesis:1.6,vulgate,ls.n13804
6,urn:cts:compnov:bible.genesis:1.6,vulgate,lexent.n18209
6,urn:cts:compnov:bible.genesis:1.6,vulgate,ls.n14559
6,urn:cts:compnov:bible.genesis:1.6,targum,ls.n13804
6,urn:cts:compnov:bible.genesis:1.6,targum,ls.n46529
6,urn:cts:compnov:bible.genesis:1.6,targum,ls.n14559
6,urn:cts:compnov:bible.genesis:1.6,septuagint,ls.n13804
6,urn:cts:compnov:bible.genesis:1.6,septuagint,lexent.n18209
6,urn:cts:compnov:bible.genesis:1.6,septuagint,ls.n46529
6,urn:cts:compnov:bible.genesis:1.6,septuagint,ls.n14559
7,urn:cts:compnov:bible.genesis:1.7,vulgate,ls.n17516
7,urn:cts:compnov:bible.genesis:1.7,vulgate,ls.n14559
7,urn:cts:compnov:bible.genesis:1.7,vulgate,ls.n46529
7,urn:cts:compnov:bible.genesis:1.7,targum,ls.n17516
7,urn:cts:compnov:bible.genesis:1.7,targum,ls.n14559
7,urn:cts:compnov:bible.genesis:1.7,targum,ls.n46529
7,urn:cts:compnov:bible.genesis:1.7,septuagint,ls.n17516
7,urn:cts:compnov:bible.genesis:1.7,septuagint,ls.n14559
7,urn:cts:compnov:bible.genesis:1.7,septuagint,ls.n46529
8,urn:cts:compnov:bible.genesis:1.8,vulgate,ls.n17516
8,urn:cts:compnov:bible.genesis:1.8,vulgate,ls.n46529
8,urn:cts:compnov:bible.genesis:1.8,vulgate,ls.n27858
8,urn:cts:compnov:bible.genesis:1.8,targum,ls.n46529
8,urn:cts:compnov:bible.genesis:1.8,targum,ls.n27858
8,urn:cts:compnov:bible.genesis:1.8,septuagint,ls.n17516
8,urn:cts:compnov:bible.genesis:1.8,septuagint,ls.n46529
8,urn:cts:compnov:bible.genesis:1.8,septuagint,ls.n27858
9,urn:cts:compnov:bible.genesis:1.9,vulgate,ls.n13804
9,urn:cts:compnov:bible.genesis:1.9,vulgate,ls.n10292
9,urn:cts:compnov:bible.genesis:1.9,vulgate,ls.n46529
9,urn:cts:compnov:bible.genesis:1.9,vulgate,ls.n3120
9,urn:cts:compnov:bible.genesis:1.9,vulgate,ls.n17516
9,urn:cts:compnov:bible.genesis:1.9,targum,ls.n13804
9,urn:cts:compnov:bible.genesis:1.9,targum,ls.n10292
9,urn:cts:compnov:bible.genesis:1.9,targum,ls.n46529
9,urn:cts:compnov:bible.genesis:1.9,targum,ls.n3120
9,urn:cts:compnov:bible.genesis:1.9,septuagint,ls.n13804
9,urn:cts:compnov:bible.genesis:1.9,septuagint,ls.n10292
9,urn:cts:compnov:bible.genesis:1.9,septuagint,ls.n3120
9,urn:cts:compnov:bible.genesis:1.9,septuagint,ls.n17516
9,urn:cts:compnov:bible.genesis:1.9,septuagint,ls.n46529
10,urn:cts:compnov:bible.genesis:1.10,vulgate,ls.n3134
10,urn:cts:compnov:bible.genesis:1.10,vulgate,ls.n50883
10,urn:cts:compnov:bible.genesis:1.10,vulgate,ls.n46529
10,urn:cts:compnov:bible.genesis:1.10,targum,ls.n3134
10,urn:cts:compnov:bible.genesis:1.10,targum,ls.n46529
11,urn:cts:compnov:bible.genesis:1.11,vulgate,ls.n19511
11,urn:cts:compnov:bible.genesis:1.11,vulgate,ls.n51044
11,urn:cts:compnov:bible.genesis:1.11,vulgate,ls.n17516
11,urn:cts:compnov:bible.genesis:1.11,vulgate,ls.n46529
11,urn:cts:compnov:bible.genesis:1.11,targum,ls.n13804
11,urn:cts:compnov:bible.genesis:1.11,targum,ls.n19511
11,urn:cts:compnov:bible.genesis:1.11,targum,ls.n43521
11,urn:cts:compnov:bible.genesis:1.11,targum,ls.n17516
11,urn:cts:compnov:bible.genesis:1.11,targum,ls.n46529
11,urn:cts:compnov:bible.genesis:1.11,septuagint,ls.n13804
11,urn:cts:compnov:bible.genesis:1.11,septuagint,ls.n19511
11,urn:cts:compnov:bible.genesis:1.11,septuagint,ls.n43521
11,urn:cts:compnov:bible.genesis:1.11,septuagint,ls.n17516
11,urn:cts:compnov:bible.genesis:1.11,septuagint,ls.n46529
12,urn:cts:compnov:bible.genesis:1.12,vulgate,ls.n51044
12,urn:cts:compnov:bible.genesis:1.12,vulgate,ls.n17516
12,urn:cts:compnov:bible.genesis:1.12,vulgate,ls.n20077
12,urn:cts:compnov:bible.genesis:1.12,vulgate,ls.n50883
12,urn:cts:compnov:bible.genesis:1.12,vulgate,ls.n46529
12,urn:cts:compnov:bible.genesis:1.12,targum,ls.n14847
12,urn:cts:compnov:bible.genesis:1.12,targum,ls.n17516
12,urn:cts:compnov:bible.genesis:1.12,targum,ls.n46529
12,urn:cts:compnov:bible.genesis:1.12,septuagint,ls.n43521
12,urn:cts:compnov:bible.genesis:1.12,septuagint,ls.n17516
13,urn:cts:compnov:bible.genesis:1.13,vulgate,ls.n17516
13,urn:cts:compnov:bible.genesis:1.13,vulgate,ls.n46529
13,urn:cts:compnov:bible.genesis:1.13,vulgate,ls.n27858
13,urn:cts:compnov:bible.genesis:1.13,targum,ls.n46529
13,urn:cts:compnov:bible.genesis:1.13,targum,ls.n27858
13,urn:cts:compnov:bible.genesis:1.13,septuagint,ls.n17516
13,urn:cts:compnov:bible.genesis:1.13,septuagint,ls.n46529
13,urn:cts:compnov:bible.genesis:1.13,septuagint,ls.n27858
14,urn:cts:compnov:bible.genesis:1.14,vulgate,ls.n13804
14,urn:cts:compnov:bible.genesis:1.14,vulgate,lexent.n18209
14,urn:cts:compnov:bible.genesis:1.14,vulgate,ls.n14559
